variable_name,datasets_involved,conflict_type,evidence,proposed_change,risk_note
pc11_pca_margwork_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Marginal Workers - Male (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | male marginal workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_margwork_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Marginal Workers - Total (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total marginal workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_non_work_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Non-Workers - Female (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | female non-workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_non_work_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Non-Workers - Male (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | male non-workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_non_work_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Non-Workers - Total (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total non-workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_p_06,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Population (0-6) (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total population (0-6 years old) (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_p_ill,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Illiterate Population Total (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total illiterate population (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_p_lit,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Literate Population Total (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total literate population (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_p_sc,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Scheduled Castes Population Total (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total scheduled castes population (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_p_st,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Scheduled Tribes Population Total (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total scheduled tribes population (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_tot_p,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_pca.dta,label,variable_label: (sum) pc11_pca_tot_p (segregation_citydata_rural_200.dta) | Total Population (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total population (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_tot_work_f,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Total Workers - Female (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | female workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_tot_work_m,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Total Workers - Male (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | male workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_pca_tot_work_p,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,label,variable_label: Total Workers - Total (pc11r_pca_clean.dta; pc11u_pca_clean.dta) | total workers (shrug_pc11_pca.dta; shrug_pc11_pca.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_state_id,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11r_subdistrict_social_group.dta; pc11u_pca_clean.dta; pc11u_town_social_group.dta; seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_state_key.dta; shrug_pc11_subdistrict_key.dta,label,variable_label: 2011 state ID (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | 2011 state id (seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_state_key.dta; shrug_pc11_subdistrict_key.dta) | State (pc11u_town_social_group.dta) | State ID (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dt...,Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_subdistrict_id,pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11r_subdistrict_social_group.dta; pc11u_pca_clean.dta; pc11u_town_social_group.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_subdistrict_key.dta,label,variable_label: 2011 subdistrict ID (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | 2011 subdistrict id (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_subdistrict_key.dta) | Subdistrict (tehsil/taluk) ID (pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11r_subdistrict_social_group.dta; pc11u_pca_cl...,Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_tot_p,pc11r_subdistrict_social_group.dta; pc11u_town_social_group.dta; shrug_pc11_td.dta,label,"variable_label: Total Population (pc11r_subdistrict_social_group.dta) | Total TOT_P (pc11u_town_social_group.dta) | Total population, 2011 (shrug_pc11_td.dta)",Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_town_id,pc11_pdf_shrid_key.dta; pc11u_pca_clean.dta; pc11u_town_social_group.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta,label,variable_label: 2011 town ID (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Town ID (pc11_pdf_shrid_key.dta; pc11u_pca_clean.dta) | Town/Village (pc11u_town_social_group.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_all_hosp,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_all_hosp (segregation_citydata_rural_200.dta) | Hospital Allopathic (Numbers) (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_all_hosp_doc_tot,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_all_hosp_doc_tot (segregation_citydata_rural_200.dta) | Hospital Allopathic Doctors Total Strength (Numbers) (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_area,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_area (segregation_citydata_rural_200.dta) | Total Geographical Area (in Hectares) (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_m_sch,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_m_sch (segregation_citydata_rural_200.dta) | number of middle schools (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_p_sch,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_p_sch (segregation_citydata_rural_200.dta) | number of primary schools (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_p_sch_gov,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_p_sch_gov (segregation_citydata_rural_200.dta) | Govt Primary School (Numbers) (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_p_sch_priv,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_p_sch_priv (segregation_citydata_rural_200.dta) | Private  Primary School (Numbers) (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_s_sch,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_s_sch (segregation_citydata_rural_200.dta) | number of secondary schools (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_s_sch_gov,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_s_sch_gov (segregation_citydata_rural_200.dta) | Govt  Secondary School (Numbers) (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_sc_p,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_sc_p (segregation_citydata_rural_200.dta) | Total Scheduled Castes Population of Village (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_st_p,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_st_p (segregation_citydata_rural_200.dta) | Total Scheduled Tribes Population of Village (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_vd_t_p,segregation_citydata_rural_200.dta; shrug_pc11_vd.dta,label,variable_label: (sum) pc11_vd_t_p (segregation_citydata_rural_200.dta) | Total Population of Village (shrug_pc11_vd.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pc11_village_id,pc11r_pca_clean.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta,label,variable_label: 2011 village id (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Village ID (pc11r_pca_clean.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
pub,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (nansum) (sum) own1 (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (sum) own1 (segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
sc,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (nansum) (nansum) sc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | SC count (segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta) | Total population count sc (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
sc_share,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | SC Share in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | SC share (subdistrict) (segregation_citydata_rural_200.dta) | SC share (town) (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
shrid,pc01_pdf_shrid_key.dta; pc11_muslims_urban.dta; pc11_pdf_shrid_key.dta; seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_names.dta; shrug_pc01u_key.dta; shrug_pc11_pca.dta; shrug_pc11_state_key.dta; shrug_pc11_subdistrict_key.dta; shrug_pc11_td.dta; shrug_pc11_vd.dta; shrug_spatial.dta,label,variable_label: <blank> (seg_correlates.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta) | SHRUG Identifier (pc01_pdf_shrid_key.dta; pc11_muslims_urban.dta; pc11_pdf_shrid_key.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; shrug_names.dta; shrug_pc01u_key.dta; shrug_pc11_pca.dta; shrug_pc11_pca.dta; shrug_pc11_state_key.dta; shrug_pc11_su...,Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
slum,seg_correlates.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) slum & non-slum (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) slum & non-slum (seg_correlates.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
subdistrict,pc11_muslims_rural.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta,label,variable_label: <blank> (pc11_muslims_rural.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Subdistrict (upper) control (segregation_citydata_rural_200.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
town,pc11_muslims_urban.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (pc11_muslims_urban.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | town (upper) control (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
tpop_b,us_tpop_b.dta; us_tract_pop.dta,label,variable_label: (firstnm) tpop_b (us_tpop_b.dta) | <blank> (us_tract_pop.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
wat_source_home,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) wat_source_home (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) wat_source_home (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
wat_source_home_muslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) wat_source_home_muslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) wat_source_home_muslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
wat_source_home_nonmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) wat_source_home_nonmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) wat_source_home_nonmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
wat_source_home_nonsc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) wat_source_home_nonsc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) wat_source_home_nonsc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
wat_source_home_nonscmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) wat_source_home_nonscmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) wat_source_home_nonscmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
wat_source_home_sc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) wat_source_home_sc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) wat_source_home_sc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
_m_growth; _m_mobility; _m_rural_gini; _m_town_gini; _m_violence,seg_correlates.dta,conceptual,normalized label 'matching result from merge' appears under variables: _m_growth; _m_mobility; _m_rural_gini; _m_town_gini; _m_violence,"Consider one unified name, e.g. _m_growth, if the concepts match.",Heuristic label match; confirm context before renaming.
cbsatitle; msa_id,msa_tract_race_pop.dta; us_census_msa_dissim.dta,conceptual,normalized label 'label grouping' appears under variables: cbsatitle; msa_id,"Consider one unified name, e.g. cbsatitle, if the concepts match.",Heuristic label match; confirm context before renaming.
city_log_pop; log_city_pop,segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,conceptual,normalized label 'log city population' appears under variables: city_log_pop; log_city_pop,"Consider one unified name, e.g. city_log_pop, if the concepts match.",Heuristic label match; confirm context before renaming.
hh; pc01_pca_no_hh; pc11_pca_no_hh,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta; shrug_pc11_pca.dta,conceptual,normalized label 'number of households' appears under variables: hh; pc01_pca_no_hh; pc11_pca_no_hh,"Consider one unified name, e.g. hh, if the concepts match.",Heuristic label match; confirm context before renaming.
msa_dissim_bw_census; msa_dissim_us_census,msa_tract_race_pop.dta,conceptual,normalized label 'dissimilarity us black' appears under variables: msa_dissim_bw_census; msa_dissim_us_census,"Consider one unified name, e.g. msa_dissim_bw_census, if the concepts match.",Heuristic label match; confirm context before renaming.
msa_iso_bw_census; msa_iso_us_census,msa_tract_race_pop.dta,conceptual,normalized label 'isolation us black' appears under variables: msa_iso_bw_census; msa_iso_us_census,"Consider one unified name, e.g. msa_iso_bw_census, if the concepts match.",Heuristic label match; confirm context before renaming.
msa_iso_bw_census_rescaled; msa_iso_us_census_rescaled,msa_tract_race_pop.dta,conceptual,normalized label 'rescaled isolation 0 1 us black' appears under variables: msa_iso_bw_census_rescaled; msa_iso_us_census_rescaled,"Consider one unified name, e.g. msa_iso_bw_census_rescaled, if the concepts match.",Heuristic label match; confirm context before renaming.
muslim_pop_share; muslim_share,seg_correlates.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,conceptual,normalized label 'muslim share town' appears under variables: muslim_pop_share; muslim_share,"Consider one unified name, e.g. muslim_pop_share, if the concepts match.",Heuristic label match; confirm context before renaming.
nonscmuslim_pop_share; nonscmuslim_share,seg_correlates.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,conceptual,normalized label 'other share town' appears under variables: nonscmuslim_pop_share; nonscmuslim_share,"Consider one unified name, e.g. nonscmuslim_pop_share, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_district_id; pc11_district_id,pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta; pc11_pdf_shrid_key.dta; pc11r_pca_clean.dta; pc11r_subdistrict_social_group.dta; pc11u_pca_clean.dta,conceptual,normalized label 'district id' appears under variables: pc01_district_id; pc11_district_id,"Consider one unified name, e.g. pc01_district_id, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_f_06; pc11_pca_f_06,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'female population 0 6' appears under variables: pc01_pca_f_06; pc11_pca_f_06,"Consider one unified name, e.g. pc01_pca_f_06, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_f_ill; pc11_pca_f_ill,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'illiterate population female' appears under variables: pc01_pca_f_ill; pc11_pca_f_ill,"Consider one unified name, e.g. pc01_pca_f_ill, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_f_lit; pc11_pca_f_lit,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'literate population female' appears under variables: pc01_pca_f_lit; pc11_pca_f_lit,"Consider one unified name, e.g. pc01_pca_f_lit, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_f_sc; pc11_pca_f_sc,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'scheduled castes population female' appears under variables: pc01_pca_f_sc; pc11_pca_f_sc,"Consider one unified name, e.g. pc01_pca_f_sc, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_f_st; pc11_pca_f_st,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'scheduled tribes population female' appears under variables: pc01_pca_f_st; pc11_pca_f_st,"Consider one unified name, e.g. pc01_pca_f_st, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_m_06; pc11_pca_m_06,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'male population 0 6' appears under variables: pc01_pca_m_06; pc11_pca_m_06,"Consider one unified name, e.g. pc01_pca_m_06, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_m_ill; pc11_pca_m_ill,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'illiterate population male' appears under variables: pc01_pca_m_ill; pc11_pca_m_ill,"Consider one unified name, e.g. pc01_pca_m_ill, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_m_lit; pc11_pca_m_lit,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'literate population male' appears under variables: pc01_pca_m_lit; pc11_pca_m_lit,"Consider one unified name, e.g. pc01_pca_m_lit, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_m_sc; pc11_pca_m_sc,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'scheduled castes population male' appears under variables: pc01_pca_m_sc; pc11_pca_m_sc,"Consider one unified name, e.g. pc01_pca_m_sc, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_m_st; pc11_pca_m_st,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'scheduled tribes population male' appears under variables: pc01_pca_m_st; pc11_pca_m_st,"Consider one unified name, e.g. pc01_pca_m_st, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_main_al_f; pc11_pca_main_al_f,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'agricultural labourers female' appears under variables: pc01_pca_main_al_f; pc11_pca_main_al_f,"Consider one unified name, e.g. pc01_pca_main_al_f, if the concepts match.",Heuristic label match; confirm context before renaming.
pc01_pca_main_al_m; pc11_pca_main_al_m,pc01u_pca_clean.dta; pc11r_pca_clean.dta; pc11u_pca_clean.dta,conceptual,normalized label 'agricultural labourers male' appears under variables: pc01_pca_main_al_m; pc11_pca_main_al_m,"Consider one unified name, e.g. pc01_pca_main_al_m, if the concepts match.",Heuristic label match; confirm context before renaming.
